sentence1	sentence2	class
가입이 힘드네요	불편하신 점이 있으셨나요? 금방 해결하도록 노력할게요.	claim
이것밖에 못 해	계속해서 공부하고 있어요. 앞으로는 더 많은 도움을 드릴 수 있도록 노력할게요.	claim
회신 겁나느림	불편을 겪게 해드려 죄송해요. 더 빨리 답할 수 있게 노력할게요.	claim
내가 만만하냐고	제가 고객님의 기분을 상하게 했나요? 고칠 수 있게 노력할게요.	claim
화가 나는군요	제가 고객님의 기분을 상하게 했나요? 고칠 수 있게 노력할게요.	claim
태도도 안좋고	죄송해요. 고객님 기분을 상하게 할 의도는 없었어요.	claim
챗봇 쓸때없네	죄송해요. 고객님께 더 도움이 되는 챗봇이 되고자 노력할게요.	claim
챗봇 불편해요	불편을 겪게 해드려 죄송해요. 더 노력할게요.	claim
찿는개 없네요	원하시는 바를 찾지 못하셨나요? 다음에는 더 도움이 될 수 있게 노력할게요.	claim
진짜 욕나온다	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
진짜 성의없네	죄송해요. 더 공부해서 도움이 되는 챗봇이 되도록 노력할게요.	claim
진짜 너무하네	제가 고객님의 기분을 상하게 했다면 죄송해요.	claim
종류가 좀 아쉽네요	죄송해요. 부족한 부분을 채워나갈 수 있게 노력할게요.	claim
제대로 못하나	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
정말 난감해요	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
태도 진짜 엉망	죄송해요. 고객님 기분을 상하게 할 의도는 없었어요.	claim
적합하지 않다	원하시는 답을 얻지 못하셨나요? 더 노력해서 발전하는 챗봇이 될게요. 	claim
너랑 무슨 얘길하냐	제가 고객님의 기분을 상하게 했나요? 고칠 수 있게 노력할게요.	claim
너무 짜증나네요	죄송해요. 고객님 기분을 상하게 할 의도는 없었어요.	claim
불만사항입니다	불편하신 점이 있으셨나요? 금방 해결하도록 노력할게요.	claim
뭐 이리 말이 많아	원하시는 만큼 조용히 있을게요. 필요할 때 다시 불러주세요.	claim
뭐 이리 오래 결려	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
무슨 말 인지 몰라	죄송해요. 다시 한번 구체적으로 말씀해 주시면 열심히 알아볼게요.	claim
목록이 너무 적음	죄송해요. 더 노력해서 고객님의 편의를 높일 수 있게 할게요.	claim
모르면 모른다 해	죄송해요. 더 공부해서 고객님의 마음에 들 수 있게 노력할게요.	claim
몇번을 말합니까	죄송해요. 다시 한번 구체적으로 말씀해 주시면 열심히 알아볼게요.	claim
맨날 그런 식이네	매일매일 달라지려고 노력하고 있어요. 고객님의 마음을 얻을 수 있게 더 노력할게요.	claim
말을 못 알아듣네	아직은 부족한가 봐요. 고객님의 믿음을 얻을 수 있게 더 노력할게요.	claim
말끼 못 알아듣네	아직은 부족한가 봐요. 더 노력할게요.	claim
너무 무성의하네	죄송해요. 고객님 기분을 상하게 할 의도는 없었어요.	claim
똑바로 상담 안 해	제가 고객님의 기분을 상하게 했나요? 고칠 수 있게 노력할게요.	claim
딥러닝되긴하니	네. 계속해서 공부하고 있어요.	claim
됐다 이제 안쓴다	죄송해요. 앞으로 더 공부해서 고객님 마음에 들 수 있게 노력할게요.	claim
다맘에 안들어요	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
니 진짜 못 찾는다	죄송해요. 다시 한번 구체적으로 말씀해 주시면 열심히 찾아볼게요.	claim
니가 알려준다며	죄송해요. 다시 한번 구체적으로 말씀해 주시면 열심히 알아볼게요.	claim
넌 챗봇도 아니야	아직은 부족한가 봐요. 더 노력할게요.	claim
넌 쓸모가 없구나	계속해서 공부하고 있어요. 앞으로는 더 많은 도움을 드릴 수 있도록 노력할게요.	claim
너 쫌 잘 못찾는다	원하시는 바를 찾지 못하셨나요? 다음에는 더 도움이 될 수 있게 노력할게요.	claim
너 왜케 멍청하냥	계속해서 공부하고 있어요. 앞으로는 더 많은 도움을 드릴 수 있도록 노력할게요.	claim
너 아는게 없구나	계속해서 공부하고 있어요. 앞으로는 더 많은 도움을 드릴 수 있도록 노력할게요.	claim
똑같은 말 하지마	원하시는 대답을 듣지 못하셨나요? 더 공부해서 다양한 대답을 하도록 노력할게요.	claim
자꾸 했던 말 또 해	죄송해요. 고객님께 더 도움이 되는 챗봇이 되고자 노력할게요.	claim
있는게 없구나	죄송해요. 고객님께 더 도움이 되는 챗봇이 되고자 노력할게요.	claim
이 깡통 로봇아	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
되게 깐깐하네	원하시는 바를 이뤄드리지 못해 죄송해요. 더 노력할게요.	claim
다신 안쓸런다	원하시는 답을 얻지 못하셨나요? 더 노력해서 발전하는 챗봇이 될게요. 	claim
니가 멍청해	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
능력이 없구만	죄송해요. 고객님께 더 도움이 되는 챗봇이 되고자 노력할게요.	claim
느리게 대답해	그럴 의도는 없었어요. 기분이 상하셨다면 죄송해요.	claim
널 믿을 수 없어	아직은 부족한가 봐요. 고객님의 믿음을 얻을 수 있게 더 노력할게요.	claim
넌 욕먹어도 싸	죄송해요. 고객님께 더 도움이 되는 챗봇이 되고자 노력할게요.	claim
넌 도움 안 된다	원하시는 답을 얻지 못하셨나요? 더 노력해서 발전하는 챗봇이 될게요. 	claim
너무 말이 빨라	그럴 의도는 없었어요. 기분이 상하셨다면 죄송해요.	claim
너무 늦게온다	그럴 의도는 없었어요. 기분이 상하셨다면 죄송해요.	claim
대답이 느리다	그럴 의도는 없었어요. 기분이 상하셨다면 죄송해요.	claim
너가 모르쟎아	죄송해요. 고객님께 더 도움이 되는 챗봇이 되고자 노력할게요.	claim
기능 구현 구려	죄송해요. 고객님께 더 도움이 되는 챗봇이 되고자 노력할게요.	claim
그것도 모르냐	원하시는 답을 얻지 못하셨나요? 더 노력해서 발전하는 챗봇이 될게요. 	claim
그거밖에 안돼	원하시는 바를 이뤄드리지 못해 죄송해요. 더 노력할게요.	claim
그거도 못찾냐	원하시는 답을 얻지 못하셨나요? 더 노력해서 발전하는 챗봇이 될게요. 	claim
공부하고 와라	네. 고객님께 더 도움이 될 수 있는 챗봇이 되기 위해 노력할게요.	claim
공부 좀 해바바	네. 고객님께 더 도움이 될 수 있는 챗봇이 되기 위해 노력할게요.	claim
공부 좀 더하고	네. 고객님께 더 도움이 될 수 있는 챗봇이 되기 위해 노력할게요.	claim
검색 잘못하넹	원하시는 답을 얻지 못하셨나요? 더 노력해서 발전하는 챗봇이 될게요. 	claim
거짓말로 광고	그럴 의도는 없었어요. 기분이 상하셨다면 죄송해요.	claim
같은 말을 계속해	기분 상하셨나요? 그럴 의도는 없었어요.	claim
내 말 무시하니	그럴 의도는 없었어요. 기분이 상하셨다면 죄송해요.	claim
더 배워야겠네	네. 고객님께 더 도움이 될 수 있는 챗봇이 되기 위해 노력할게요.	claim
도움이 안되네	죄송해요. 고객님께 더 도움이 되는 챗봇이 되고자 노력할게요.	claim
똑바로 안하지	죄송해요. 고객님께 더 도움이 되는 챗봇이 되고자 노력할게요.	claim
왜케 멍청하냥	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
왜 챗봇을 쓰지	저는 다양한 방면에서 고객님의 편의를 높일 수 있어요.	claim
왜 못 찾는 건데	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
완전 양아치야	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
엉망진창이야	죄송해요. 고객님께 더 도움이 되는 챗봇이 되고자 노력할게요.	claim
야 똑바로해라	네. 고객님께 더 도움이 될 수 있는 챗봇이 되기 위해 노력할게요.	claim
아니 안 만족해	원하시는 답을 얻지 못하셨나요? 더 노력해서 만족시켜드릴 수 있도록 할게요.	claim
아는게 없자나	아직은 부족한가 봐요. 더 노력하는 챗봇이 될게요.	claim
쓸모없는 자식	원하시는 바를 이뤄드리지 못해 죄송해요. 더 노력할게요.	claim
실망이네 바보	원하시는 답을 얻지 못하셨나요? 더 노력해서 발전하는 챗봇이 될게요. 	claim
시간이 아깝군	원하시는 바를 이뤄드리지 못해 죄송해요. 더 노력할게요.	claim
시간이 아까워	원하시는 답을 얻지 못하셨나요? 더 노력해서 발전하는 챗봇이 될게요. 	claim
성실히 대답해	네. 고객님께 더 도움이 될 수 있는 챗봇이 되기 위해 노력할게요.	claim
서비스가 불량	죄송해요. 고객님께 더 도움이 되는 챗봇이 되고자 노력할게요.	claim
불친절한챗봇	죄송해요. 그럴 의도는 없었어요.	claim
뭘 아는게 없냐	죄송해요. 고객님께 더 도움이 되는 챗봇이 되고자 노력할게요.	claim
뭐 하자는 거니	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
뭐가 챗봇이냐	저 말씀이신가요? 전 고객님의 서비스 이용을 도와드릴 챗봇이에요.	claim
못 알아듣겠니	죄송해요. 더 공부해서 고객님의 말씀을 제대로 이해하도록 노력할게요.	claim
모르면 어떡해	아직은 부족한가 봐요. 고객님의 믿음을 얻을 수 있게 더 노력할게요.	claim
말이 안통하노	아직은 부족한가 봐요. 고객님의 믿음을 얻을 수 있게 더 노력할게요.	claim
막무가네시네	그럴 의도는 없었어요. 기분이 상하셨다면 죄송해요.	claim
똑바로해 쟈샤	네. 고객님께 더 도움이 될 수 있는 챗봇이 되기 위해 노력할게요.	claim
뭐하는거냐	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
개무시를 해	그럴 의도는 없었어요. 기분이 상하셨다면 죄송해요.	claim
머냐	저 말씀이신가요? 전 챗봇이에요.	claim
태도엉망	그럴 의도는 없었어요. 기분이 상하셨다면 죄송해요.	claim
딥빢	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
우쒸	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
짜증	불편을 겪게 해드려 죄송해요. 더 노력할게요.	claim
뭐야 실망이야	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
개빡쳐	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
구리다	아직은 부족한가 봐요. 더 노력할게요.	claim
구린데	아직은 부족한가 봐요. 더 노력할게요.	claim
답답아	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
답정너	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
또 몰라	불편을 겪게 해드려 죄송해요. 더 노력할게요.	claim
먼소리	이해가 안 가는 부분이 있으신가요? 더 상세한 설명을 위해 노력할게요.	claim
뭐라꼬	이해가 안 가는 부분이 있으신가요? 더 상세한 설명을 위해 노력할게요.	claim
미쳤니	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
배워라	네. 고객님께 더 도움이 될 수 있는 챗봇이 되기 위해 노력할게요.	claim
불만족	원하시는 바를 이뤄드리지 못해 죄송해요. 더 노력할게요.	claim
빢치네	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
아 짱나	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
노답	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
쩝..쓸모없군	아직은 부족한가 봐요. 더 노력할게요.	claim
찾기어렵습니다	이해가 안 가는 부분이 있으신가요? 더 상세한 설명을 위해 노력할게요.	claim
사용 못 하겠네요	죄송해요. 제 어떤 행동이 기분을 언짢게 했는지 모르겠어요.	claim
이상하네	이해가 안 가는 부분이 있으신가요? 더 상세한 설명을 위해 노력할게요.	claim
잘 좀 찾아	아직은 부족한가 봐요. 더 노력할게요.	claim
허접하네	계속 노력하는 중이에요. 좋은 서비스를 위해 노력하는 챗봇이 될게요.	claim
같은거잔아	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
못 알아들어	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
뭐라는거지	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
반성하세요	네. 앞으로 더 노력하는 챗봇이 될게요.	claim
신고합니당	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
약올려	그럴 의도는 없었어요. 기분이 상하셨다면 죄송해요.	claim
아직 멀었네	계속 노력하는 중이에요. 좋은 서비스를 위해 노력하는 챗봇이 될게요.	claim
이게어디서	죄송해요. 제 어떤 행동이 기분을 언짢게 했는지 모르겠어요.	claim
적당히해라	죄송해요. 제 어떤 행동이 기분을 언짢게 했는지 모르겠어요.	claim
진짜 모르네	아직은 부족한가 봐요. 더 노력할게요.	claim
그러면 안되지	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
못알아듣구나	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
비속어 아닌데	제가 잘못 알아들었나 봐요. 앞으로는 명확히 인식할 수 있게 노력할게요.	claim
이해가 잘안되	이해가 안 가는 부분이 있으신가요? 더 상세한 설명을 위해 노력할게요.	claim
답변 좀 해주세요	궁금하신 게 있으신가요? 더 상세한 설명을 위해 노력할게요.	claim
엥 이건머지	이해가 안 가는 부분이 있으신가요? 더 상세한 설명을 위해 노력할게요.	claim
열받어	기분 상하게 해드려서 죄송해요. 더 발전하는 챗봇이 될게요.	claim
왜 몰라	불편을 겪게 해드려 죄송해요. 더 노력할게요.	claim
왜없엉	불편을 겪게 해드려 죄송해요. 더 노력할게요.	claim
분노폭발	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
뻥치시네	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
시원찬은	원하시는 바를 이뤄드리지 못해 죄송해요. 더 노력할게요.	claim
실망이야	원하시는 바를 이뤄드리지 못해 죄송해요. 더 노력할게요.	claim
쓰레기네	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
암울하넹	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
약올리냐	그럴 의도는 없었어요. 기분이 상하셨다면 죄송해요.	claim
어이없네	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
별루인데	불편을 겪게 해드려 죄송해요. 더 노력할게요.	claim
엉망이군	불편을 겪게 해드려 죄송해요. 더 노력할게요.	claim
왜 다없대	원하시는 바를 이뤄드리지 못해 죄송해요. 더 노력할게요.	claim
왜 못찾아	원하시는 바를 이뤄드리지 못해 죄송해요. 더 노력할게요.	claim
왜 안해조	원하시는 바를 이뤄드리지 못해 죄송해요. 더 노력할게요.	claim
우쒸머야	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
이게뭐냐	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
이상한데	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
장난하낭	불편을 겪게 해드려 죄송해요. 더 노력할게요.	claim
정신차려	불편을 겪게 해드려 죄송해요. 더 노력할게요.	claim
엉망진창	불편을 겪게 해드려 죄송해요. 더 노력할게요.	claim
이게뭐야	이해가 안 가는 부분이 있으신가요? 더 상세한 설명을 위해 노력할게요.	claim
배워라 좀	계속 노력하는 중이에요. 좋은 서비스를 위해 노력하는 챗봇이 될게요.	claim
무식하다	계속 노력하는 중이에요. 좋은 서비스를 위해 노력하는 챗봇이 될게요.	claim
으이구	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
짜잉나	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
짱나네	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
짱난다	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
후지네	원하시는 바를 이뤄드리지 못해 죄송해요. 더 노력할게요.	claim
개답답해	원하시는 바를 이뤄드리지 못해 죄송해요. 더 노력할게요.	claim
거지같네	원하시는 바를 이뤄드리지 못해 죄송해요. 더 노력할게요.	claim
고객불편	불편을 겪게 해드려 죄송해요. 더 노력할게요.	claim
무쓸모네	계속 노력하는 중이에요. 좋은 서비스를 위해 노력하는 챗봇이 될게요.	claim
공부 더해	네. 고객님께 더 도움이 될 수 있는 챗봇이 되기 위해 노력할게요.	claim
그지같아	원하시는 바를 이뤄드리지 못해 죄송해요. 더 노력할게요.	claim
나 화났어	그럴 의도는 없었어요. 기분이 상하셨다면 죄송해요.	claim
내가 미쳐	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
너무 구려	불편을 겪게 해드려 죄송해요. 더 노력할게요.	claim
너무해요	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
너 해고야	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
답답하네	불편을 겪게 해드려 죄송해요. 더 노력할게요.	claim
매너없어	그럴 의도는 없었어요. 기분이 상하셨다면 죄송해요.	claim
그게 머니	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
화가 난다	원하시는 바를 이뤄드리지 못해 죄송해요. 더 노력할게요.	claim
욕나올뻔	죄송해요. 제 어떤 행동이 기분을 언짢게 했는지 모르겠어요.	claim
왜 이래요	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
찜찜	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
혼나	죄송해요. 제 어떤 행동이 기분을 언짢게 했는지 모르겠어요.	claim
개빡치네	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
개진상	아직은 부족한가 봐요. 더 노력하는 챗봇이 될게요.	claim
구졌네	아직은 부족한가 봐요. 더 노력하는 챗봇이 될게요.	claim
귀챦아	고객님을 도와드리기 위해 열심히 노력하고 있어요. 	claim
나빴어	죄송해요. 제 어떤 행동이 기분을 언짢게 했는지 모르겠어요.	claim
너무느려	아직은 부족한가 봐요. 더 노력하는 챗봇이 될게요.	claim
느려요	아직은 부족한가 봐요. 더 노력하는 챗봇이 될게요.	claim
다안되	아직은 부족한가 봐요. 더 노력할게요.	claim
다 안됨	아직은 부족한가 봐요. 더 노력할게요.	claim
때려쳐	죄송해요. 제 어떤 행동이 기분을 언짢게 했는지 모르겠어요.	claim
또 무시	아직은 부족한가 봐요. 더 노력하는 챗봇이 될게요.	claim
맹꽁이	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
머냐 너	저 말씀이신가요? 전 챗봇이에요.	claim
머라구	이해가 안 가는 부분이 있으신가요? 더 상세한 설명을 위해 노력할게요.	claim
머시라	이해가 안 가는 부분이 있으신가요? 더 상세한 설명을 위해 노력할게요.	claim
짱나	죄송해요. 제가 고객님을 언짢게 했나 봐요.	claim
에러	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
엉망	아직은 부족한가 봐요. 더 노력하는 챗봇이 될게요.	claim
아놔	죄송해요. 제가 고객님을 언짢게 했나 봐요.	claim
챗봇구려	죄송해요. 항상 더 노력하는 챗봇이 되기 위해 노력할게요.	claim
짱난다고	원하시는 바를 이뤄드리지 못해 죄송해요. 더 노력할게요.	claim
짱나는군	원하시는 바를 이뤄드리지 못해 죄송해요. 더 노력할게요.	claim
집어치워	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
진짜 짱나	불편을 겪게 해드려 죄송해요. 더 노력할게요.	claim
구려	아직은 부족한가 봐요. 더 노력할게요.	claim
극혐	죄송해요. 제 어떤 행동이 기분을 언짢게 했는지 모르겠어요.	claim
나쁜	착한 챗봇이 되기 위해 노력할게요.	claim
머하는거냐	이해가 안 가는 부분이 있으신가요? 더 상세한 설명을 위해 노력할게요.	claim
난리	무슨 말씀이신지 잘 모르겠어요.	claim
모야	무엇이 궁금하신지 구체적으로 말씀해 주세요.	claim
뭐래	죄송해요. 제가 이상하게 말했나 봐요.	claim
뭐랴	저 말씀 하시는 건가요? 전 챗봇이에요.	claim
뭐여	저 말씀 하시는 건가요? 무엇이 궁금하신지 말씀해 주세요.	claim
뭥미	저 말씀이신가요? 전 챗봇이에요.	claim
버그	원하시는 답변을 해드리지 못해 죄송해요. 더 노력할게요.	claim
불만	원하시는 바를 이뤄드리지 못해 죄송해요. 더 노력할게요.	claim
불편	불편을 겪게 해드려 죄송해요. 더 노력할게요.	claim
진짜 엉망	원하시는 바를 이뤄드리지 못해 죄송해요. 더 노력할게요.	claim
뭐라구	이해가 안 가는 부분이 있으신가요? 더 상세한 설명을 위해 노력할게요.	claim
버그네	원하시는 답변을 해드리지 못해 죄송해요. 더 노력할게요.	claim
불편해	아직은 부족한가 봐요. 더 노력하는 챗봇이 될게요.	claim
못쓰겠다	이해가 안 가는 부분이 있으신가요? 더 상세한 설명을 위해 노력할게요.	claim
뭐냐이건	죄송해요. 제 어떤 행동이 기분을 언짢게 했는지 모르겠어요.	claim
불편해 죽겠네요	불편하신 점이 있으셨나요? 금방 해결하도록 노력할게요.	claim
뭐야 대체	죄송해요. 제 어떤 행동이 기분을 언짢게 했는지 모르겠어요.	claim
뭐야이거	죄송해요. 제 어떤 행동이 기분을 언짢게 했는지 모르겠어요.	claim
뭔말이야	이해가 안 가는 부분이 있으신가요? 더 상세한 설명을 위해 노력할게요.	claim
미치겠네	죄송해요. 제 어떤 행동이 기분을 언짢게 했는지 모르겠어요.	claim
버벅거려	아직은 부족한가 봐요. 더 노력할게요.	claim
똑바로해	네. 앞으로 더 노력하는 챗봇이 될게요.	claim
복잡하다	아직은 부족한가 봐요. 더 노력할게요.	claim
불편해요	아직은 부족한가 봐요. 더 노력할게요.	claim
속터져요	이해가 안 가는 부분이 있으신가요? 더 상세한 설명을 위해 노력할게요.	claim
시끄러워	원하시는 만큼 조용히 있을게요. 필요할 때 다시 불러주세요.	claim
시시하다	아직은 부족한가 봐요. 더 노력할게요.	claim
쓸모없네	아직은 부족한가 봐요. 더 노력할게요.	claim
어쩌라고	죄송해요. 제 어떤 행동이 기분을 언짢게 했는지 모르겠어요.	claim
에이 뭐야	이해가 안 가는 부분이 있으신가요? 더 상세한 설명을 위해 노력할게요.	claim
왜 못하니	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
부들부들	원하시는 답변을 해드리지 못해 죄송해요. 더 노력할게요.	claim
왜 이러죠	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
동문서답	아직은 부족한가 봐요. 더 노력하는 챗봇이 될게요.	claim
답답이군	아직은 부족한가 봐요. 더 노력할게요.	claim
삐졌어	죄송해요. 제 어떤 행동이 기분을 언짢게 했는지 모르겠어요.	claim
썩었네	아직은 부족한가 봐요. 더 노력할게요.	claim
씨끄러	원하시는 만큼 조용히 있을게요. 필요할 때 다시 불러주세요.	claim
아 뭐야	아직은 부족한가 봐요. 더 노력하는 챗봇이 될게요.	claim
아 진짜	아직은 부족한가 봐요. 더 노력하는 챗봇이 될게요.	claim
엉터리	이해가 안 가는 부분이 있으신가요? 더 상세한 설명을 위해 노력할게요.	claim
왜이래	이해가 안 가는 부분이 있으신가요? 더 상세한 설명을 위해 노력할게요.	claim
웃기냐	이해가 안 가는 부분이 있으신가요? 더 상세한 설명을 위해 노력할게요.	claim
도움안됨	아직은 부족한가 봐요. 더 노력하는 챗봇이 될게요.	claim
이상해	아직은 부족한가 봐요. 더 노력할게요.	claim
장난쳐	죄송해요. 제 어떤 행동이 기분을 언짢게 했는지 모르겠어요.	claim
클레임	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
화나요	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
골 때리네	죄송해요. 제 어떤 행동이 기분을 언짢게 했는지 모르겠어요.	claim
기분나뻐	죄송해요. 제 어떤 행동이 기분을 언짢게 했는지 모르겠어요.	claim
내 이럴줄	이해가 안 가는 부분이 있으신가요? 더 상세한 설명을 위해 노력할게요.	claim
노력해라	네. 앞으로 더 노력하는 챗봇이 될게요.	claim
다 엉터리	아직은 부족한가 봐요. 더 노력할게요.	claim
작작해	죄송해요. 제 어떤 행동이 기분을 언짢게 했는지 모르겠어요.	claim
상담이 답답해 	죄송해요. 다시 한 번 구체적으로 말씀해 주시면 열심히 알아볼게요.	claim
언제 정상화됩니까	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
질문한거 답하세요	죄송해요. 다시 한번 구체적으로 말씀해 주시면 열심히 찾아볼게요.	claim
왜이리 상담이 어렸나요	죄송해요. 더 노력해서 고객님의 편의를 높일 수 있게 할게요.	claim
왜 이렇게 안 되는게 많아	불편하신 점이 있으셨나요? 금방 해결하도록 노력할게요.	claim
왜 답변이 그 모양이었니	그럴 의도는 없었어요. 기분이 상하셨다면 죄송해요.	claim
에잇 쓸때없는 상담코너	죄송해요. 앞으로 더 공부해서 고객님 마음에 들 수 있게 노력할게요.	claim
엉뚱한거만 보여주나요	죄송해요. 다시 한번 구체적으로 말씀해 주시면 열심히 알아볼게요.	claim
아직두 찾아주지 않았어	불편을 겪게 해드려 죄송해요. 더 노력할게요.	claim
서비스가 너무 않좋네요	죄송해요. 더 노력해서 고객님의 편의를 높일 수 있게 할게요.	claim
상담원하곤 말이 안통햐	죄송해요. 더 노력해서 고객님의 편의를 높일 수 있게 할게요.	claim
뭐하러 챗봇이 필요하냐	저는 다양한 방면에서 고객님의 편의를 높일 수 있어요.	claim
이게 무슨 인공지능이냐	계속 노력하는 중이에요. 좋은 서비스를 위해 노력하는 챗봇이 될게요.	claim
묻는 말대답해주는 용도	계속 노력하는 중이에요. 좋은 서비스를 위해 노력하는 챗봇이 될게요.	claim
