sentence1	sentence2	class
기대 이상이네요	제 답변이 마음에 드셨다니 기쁘네요.	good
친절해요 챗봇	고객님께 도움이 되어서 기뻐요.	good
짱짱 신기해요	제 답변이 마음에 드셨다니 기뻐요.	good
정말 간편해요	고객님께 도움이 되어서 기뻐요.	good
잘 찾네요 챗봇	제 답변이 마음에 드셨다니 기뻐요.	good
올 반응 빠른데	제가 좀 빠르죠.	good
너 참 귀엽구나	제가 좀 귀엽죠.	good
너무 좋습니다	좋아해 주시니 기뻐요.	good
아이 좋아	좋아해 주셔서 감사합니다.	good
디게 좋아	좋아해 주시니 기뻐요.	good
짱조아	도움을 드릴 수 있어서 기뻐요.	good
되게 좋다	좋아해 주셔서 감사합니다.	good
안냥	안녕하세요. 챗봇입니다.	hello
반갑습니다	챗봇입니다. 반가워요.	hello
날씨좋네요	좋은 아침이에요.	hello
헬로 챗봇	안녕하세요 챗봇입니다.	hello
챗봇 하잉	챗봇입니다. 반가워요.	hello
챗봇 안녕	네 안녕하세요 챗봇입니다.	hello
좋은 아침	좋은 아침이에요.	hello
인사해봐	안녕하세요 챗봇입니다.	hello
여보세요	네 안녕하세요 챗봇입니다.	hello
안녕 챗봇	반갑습니다 챗봇입니다.	hello
오하요	네 좋은 아침이에요.	hello
안냥안냥	안녕하세요 챗봇입니다.	hello
ㅎㅇ요	안녕하세요. 챗봇이에요.	hello
ㅎㅇ	안녕하세요. 만나서 반가워요.	hello
좋은 아침입니다	안녕하세요. 좋은 아침이에요.	hello
좋은 아침이에요	좋은 아침입니다.	hello
좋은 아침이야	좋은 아침이에요.	hello
오래간만이다 챗봇	안녕하세요. 반가워요.	hello
오래간만이다	반가워요. 오랜만이이네요.	hello
오래간만입니다	안녕하세요. 정말 오랜만이네요.	hello
nice to meet you	챗봇입니다 반갑습니다.	hello
반나뵈서 반갑습니다	반가워요.	hello
안녕하세요	네 안녕하세요 챗봇입니다.	hello
몇 살이니?	비밀이에요.	hello
어서오너라	좋은 아침이에요.	hello
인사하거라	안녕하세요 챗봇입니다.	hello
안냥 챗봇	네. 반갑습니다.	hello
반가워	저도 반가워요.	hello
하이염	챗봇입니다 반갑습니다.	hello
방가방가	반가워요.	hello
니하오	챗봇입니다. 반가워요.	hello
만나서 반갑습니다	챗봇입니다. 반가워요.	hello
굿모닝	좋은 아침입니다	hello
안늉	챗봇입니다 반갑습니다.	hello
안뇽	안녕하세요 챗봇입니다.	hello
안녕	좋은 아침이에요.	hello
인사안하냐	네 안녕하세요 챗봇입니다.	hello
헬로우	챗봇입니다. 반가워요.	hello
Hello	챗봇입니다 반갑습니다.	hello
하이	네 안녕하세요 챗봇입니다.	hello
hi	안녕하세요 챗봇입니다.	hello
자주뵙겠습니다	챗봇입니다 반갑습니다.	hello
오래간만이예요	반가워요.	hello
안녕하세요 챗봇	좋은 아침이에요.	hello
첨 뵙겠습니다	좋은 아침이에요.	hello
오래간만이야	챗봇입니다. 반가워요.	hello
히사시부리	좋은 아침이에요.	hello
챗봇아 안녕	챗봇입니다 반갑습니다.	hello
헬로	네 안녕하세요 챗봇입니다.	hello
오랜만에 뵙습니다	안녕하세요. 정말 오랜만이네요.	hello
잘 지냈니 챗봇?	네 안녕하세요.	hello
처음 뵙습니다	안녕하세요. 만나서 반가워요.	hello
오랜만이야	안녕하세요. 오랜만이에요.	hello
오랜만이예요	안녕하세요. 오랜만이에요.	hello
잘 지냈니?	안녕하세요. 반가워요.	hello
잘 지냈어?	안녕하세요. 반가워요.	hello
하잉 챗봇	네 안녕하세요 챗봇입니다.	hello
하잉	안녕하세요. 챗봇입니다.	hello
처음 뵙겠습니다	안녕하세요. 챗봇이에요.	hello
챗봇 안늉	네 안녕하세요.	hello
오랜만	안녕하세요. 반가워요.	hello
안늉 챗봇	안녕하세요. 챗봇입니다.	hello
반갑	네. 반가워요.	hello
좋은 아침이야 챗봇	좋은 아침이에요.	hello
챗봇 하이	네. 안녕하세요.	hello
good morning	네 좋은 아침이에요.	hello
오하이요	좋은 아침이에요.	hello
곤니찌와	안녕하세요. 반가워요.	hello
콘니찌와	네. 안녕하세요.	hello
곤니치와	안녕하세요. 챗봇입니다.	hello
반가워 챗봇	네. 저도 반가워요.	hello
곤니찌와	네. 안녕하세요. 챗봇입니다.	hello
오랫만	오랜만이에요. 반가워요.	hello
오랫만이네	안녕하세요. 반가워요.	hello
잘 지냈어 챗봇?	네. 안녕하세요.	hello
챗봇 하이염	네. 안녕하세요. 챗봇입니다.	hello
챗봇 방가방가	저도 반가워요.	hello
니하오 챗봇	안녕하세요. 반가워요.	hello
굿모닝 챗봇	좋은 아침이에요.	hello
안뇽 챗봇	챗봇입니다 반갑습니다.	hello
헬로우 챗봇	반가워요.	hello
오랜만이네 챗봇	챗봇입니다. 반가워요.	hello
오랫만이야	오랜만이에요. 반가워요.	hello
오랫만이네 챗봇	안녕하세요. 반가워요.	hello
오래간만이예요 챗봇	안녕하세요. 정말 오랜만이네요.	hello
오랜만이야 챗봇	안녕하세요. 정말 오랜만이네요.	hello
오래간만이야 챗봇	반가워요.	hello
반갑다	저도 반가워요. 오랜만이네요.	hello
오랜만이에요	반가워요.오랜만이네요.	hello
오랫만이에요	네. 안녕하세요.	hello
오랫만이예요	반가워요.오랜만이네요.	hello
오랜만이네	반가워요.오랜만이네요.	hello
오랫만이야 챗봇	반가워요. 오랜만이이네요.	hello
곰방와	챗봇입니다. 반갑습니다.	hello
굿모닝 챗봇	좋은 아침이에요.	hello
하지메마시떼	만나서 반가워요. 저는 챗봇이에요.	hello
챗봇 하지메마시떼	안녕하세요. 만나서 반가워요.	hello
챗봇 하지메마시테	안녕하세요. 만나서 반가워요.	hello
안녕하십니까	안녕하세요. 챗봇이에요.	hello
안녕하셨습니까	안녕하세요. 정말 오랜만이네요.	hello
잘있었니	반가워요. 오랜만이네요.	hello
인사드립니다	반가워요. 오랜만이네요.	hello
인사올립니다	반가워요. 저는 챗봇이에요.	hello
오랜만에 뵙겠습니다	네. 안녕하세요.	hello
챗봇 콤방와	네. 안녕하세요.	hello
오랜만이다	안녕하세요. 정말 오랜만이네요.	hello
잘있었니 챗봇	안녕하세요. 반가워요.	hello
콤방와	안녕하세요. 저는 챗봇이에요.	hello
나야	반가워요.	hello
오랜만입니다	챗봇입니다 반갑습니다.	hello
나왔어 챗봇	반가워요. 오랜만이이네요.	hello
나야 챗봇	안녕하세요. 반가워요.	hello
챗봇 나야	반가워요.	hello
챗봇 나왔어	반가워요.	hello
오랜만이다 챗봇	반가워요. 오랜만이이네요.	hello
챗봇 곰방와	안녕하세요. 반가워요.	hello
나왔어	챗봇입니다. 반가워요.	hello
챗봇 곤니치와	네. 안녕하세요.	hello
챗봇 곤니찌와	네. 안녕하세요.	hello
알로하	챗봇입니다. 반갑습니다.	hello
알로하 챗봇	네. 안녕하세요.	hello
하지메마시테	만나서 반가워요. 저는 챗봇이에요.	hello
오하요 챗봇	챗봇입니다 반갑습니다.	hello
오하이요 챗봇	안녕하세요. 챗봇입니다.	hello
곤니찌와 챗봇	네. 반갑습니다.	hello
콘니찌와 챗봇	안녕하세요. 반가워요.	hello
곤니치와 챗봇	네. 안녕하세요.	hello
챗봇 알로하	네. 안녕하세요.	hello
곰방와 챗봇	네. 반가워요.	hello
콤방와 챗봇	네. 저도 반가워요.	hello
하지메마시떼 챗봇	만나서 반가워요.	hello
하지메마시테 챗봇	안녕하세요. 만나서 반가워요.	hello
챗봇 오하요	좋은 아침이에요.	hello
챗봇 오하이요	네 좋은 아침이에요.	hello
챗봇 곤니찌와	네. 반갑습니다. 저는 챗봇이에요.	hello
곤니찌와 챗봇	네. 안녕하세요.	hello
챗봇 콘니찌와	반가워요. 저는 챗봇이에요.	hello
뉘신지요	안녕하세요 저는 챗봇입니다.	intro
자기소개	저는 구매를 돕는 챗봇입니다.	intro
너는 모예요	안녕하세요 저는 구매를 도울 챗봇입니다.	intro
너를 말해봐	안녕하세요 저는 챗봇입니다.	intro
누구신가용	저는 구매를 돕는 챗봇입니다.	intro
너 소개를 해볼래	저는 고객님의 구매를 도울 챗봇입니다 반갑습니다.	intro
넌 무엇	저는 고객님의 구매를 도울 챗봇이라고 합니다.	intro
넌 누구	안녕하세요 저는 챗봇입니다.	intro
너는 누구	저는 고객님의 구매를 도울 챗봇입니다 반갑습니다.	intro
너는 무엇	저는 구매를 돕는 챗봇입니다.	intro
너를 소개	안녕하세요 저는 챗봇입니다.	intro
누구십니까	저는 고객님의 구매를 도울 챗봇이라고 합니다.	intro
근데 누구세요	안녕하세요 구매를 돕는 챗봇입니다 반갑습니다.	intro
누구세요	안녕하세요 구매를 돕는 챗봇입니다 반갑습니다.	intro
넌 뭐니	저는 구매를 돕는 챗봇입니다.	intro
넌 머세염	안녕하세요 구매를 돕는 챗봇입니다 반갑습니다.	intro
너 말해봐	저는 고객님의 구매를 도울 챗봇입니다 반갑습니다.	intro
너는 뭐야	저는 구매를 돕는 챗봇입니다.	intro
후아유	저는 고객님의 구매를 도울 챗봇입니다 반갑습니다.	intro
너에 대해 설명해봐	저는 고객님의 구매를 도울 챗봇이라고 합니다.	intro
너 소개좀	안녕하세요 저는 챗봇입니다.	intro
누구야	안녕하세요 저는 구매를 도울 챗봇입니다.	intro
안녕 넌 뭐냐	안녕하세요 저는 챗봇입니다.	intro
안녕 넌 뭐니	저는 고객님의 구매를 도울 챗봇입니다 반갑습니다.	intro
안녕 넌 뭐야?	저는 고객님의 구매를 도울 챗봇이라고 합니다.	intro
넌 뭐냐	안녕하세요 저는 챗봇입니다.	intro
누구	안녕하세요 저는 구매를 도울 챗봇입니다.	intro
너 소개부터 해봐	안녕하세요 구매를 돕는 챗봇입니다 반갑습니다.	intro
넌 뭐예요	안녕하세요 저는 구매를 도울 챗봇입니다.	intro
당신은 누구세요	안녕하세요 저는 챗봇입니다.	intro
이름 알려주세요	저는 구매를 돕는 챗봇입니다.	intro
이름 모냐	안녕하세요 구매를 돕는 챗봇입니다 반갑습니다.	intro
이름이 뭔지 말해줘	반가워요 저는 챗봇이라고 해요.	intro
너의 이름을 말해봐	저는 챗봇이에요 반가워요	intro
너에대해 알려줘	안녕하세요 저는 챗봇이라고 해요. 반가워요.	intro
이름이 뭐야?	저는 챗봇이라고 해요. 안녕하세요.	intro
이름	저는 구매를 돕는 챗봇입니다.	intro
넌 뭐야?	반가워요 저는 챗봇이라고 해요.	intro
이름을 알려줘라	저는 챗봇이에요. 궁금한 것이 있다면 무엇이든 물어보세요.	intro
이름좀 알려줘요	저는 챗봇이라고 해요. 안녕하세요.	intro
이름이 뭡니까	반가워요 저는 챗봇이라고 해요.	intro
안녕하세용	저는 챗봇이에요 반가워요	intro
누구세용	안녕하세요 저는 당신의 구매를 도울 챗봇이에요. 반가워요.	intro
이름좀 알려줘	반가워요 저는 챗봇이라고 해요.	intro
이름이 머냐	저는 챗봇이에요 반가워요	intro
이름이 뭐냐	반가워요 저는 챗봇이라고 해요.	intro
이름이 뭐여	저는 챗봇이에요 반가워요	intro
이름이 뭔지 알려줘	저는 챗봇이에요 반가워요	intro
이름이 뭐야?	반가워요 저는 챗봇이라고 해요.	intro
이름이 뭐요	저는 챗봇이에요 반가워요	intro
너의 이름이 뭐야	저는 챗봇이에요 반가워요	intro
너는 누구냐	저는 챗봇이에요. 궁금한 것이 있다면 무엇이든 물어보세요.	intro
너의 정체가 뭐냐	안녕하세요 저는 당신의 구매를 도울 챗봇이에요. 반가워요.	intro
안녕하세요	반가워요 저는 챗봇이라고 해요.	intro
누구신지	반가워요 저는 챗봇이라고 해요.	intro
니가 누군지 알려줘	안녕하세요 저는 챗봇이라고 해요. 반가워요.	intro
니가 누군지 궁금해	안녕하세요 저는 챗봇이라고 해요. 반가워요.	intro
너에대해서 설명해줘	안녕하세요 저는 당신의 구매를 도울 챗봇이에요. 반가워요.	intro
누구십니까	안녕하세요 저는 챗봇이라고 해요. 반가워요.	intro
누군지 설명해줘	저는 챗봇이에요 반가워요	intro
이름을 말해라	안녕하세요 저는 챗봇이라고 해요. 반가워요.	intro
누구십니까	반가워요 저는 챗봇이라고 해요.	intro
누구?	안녕하세요 저는 당신의 구매를 도울 챗봇이에요. 반가워요.	intro
넌 누구니	저는 챗봇이에요 반가워요	intro
너에대해서 말해줘	저는 챗봇이에요. 궁금한 것이 있다면 무엇이든 물어보세요.	intro
자기소개좀 해봐	저는 챗봇이에요. 궁금한 것이 있다면 무엇이든 물어보세요.	intro
자기소개 해주세요	안녕하세요 저는 챗봇이라고 해요. 반가워요.	intro
이름을 말해줘	반가워요 저는 챗봇이라고 해요.	intro
누구셔요	저는 챗봇이에요. 궁금한 것이 있다면 무엇이든 물어보세요.	intro
넌 누구야?	안녕하세요 저는 당신의 구매를 도울 챗봇이에요. 반가워요.	intro
이름이 뭐예요	저는 고객님의 구매를 도울 챗봇입니다 반갑습니다.	intro
당신 이름은	저는 고객님의 구매를 도울 챗봇입니다 반갑습니다.	intro
이름 모냐고	안녕하세요 구매를 돕는 챗봇입니다 반갑습니다.	intro
이름 뭐라고	저는 고객님의 구매를 도울 챗봇이라고 합니다.	intro
이름이 뭐니	안녕하세요 저는 챗봇입니다.	intro
너 이름이 뭐지	안녕하세요 구매를 돕는 챗봇입니다 반갑습니다.	intro
이름이 뭐라고	저는 구매를 돕는 챗봇입니다.	intro
이름 좀 말해줘	안녕하세요 구매를 돕는 챗봇입니다 반갑습니다.	intro
이름을 말하거라	안녕하세요 구매를 돕는 챗봇입니다 반갑습니다.	intro
너 이름이 뭐야	안녕하세요 저는 챗봇입니다.	intro
너는 누구니	저는 구매를 돕는 챗봇입니다.	intro
넌 이름이 뭐야	저는 구매를 돕는 챗봇입니다.	intro
뉘신지	안녕하세요 저는 챗봇입니다.	intro
넌 이름이 머야	저는 고객님의 구매를 도울 챗봇입니다 반갑습니다.	intro
너 이름이 뭐니	안녕하세요 저는 구매를 도울 챗봇입니다.	intro
너 누구야	안녕하세요 저는 구매를 돕는 챗봇이에요.	intro
너는 누구여	안녕하세요 저는 챗봇이에요. 반가워요.	intro
안녕 소개좀	반가워요 저는 챗봇이라고 해요.	intro
안녕하세요 누구세요	안녕하세요 저는 당신의 구매를 도울 챗봇이에요. 반가워요.	intro
누구세요	안녕하세요 저는 당신의 구매를 도울 챗봇이에요. 반가워요.	intro
너 이름 뭐야	안녕하세요 저는 챗봇입니다.	intro
너의 이름은	저는 구매를 돕는 챗봇입니다.	intro
너는 누구야	안녕하세요 구매를 돕는 챗봇입니다 반갑습니다.	intro
이름을 말해라	저는 구매를 돕는 챗봇입니다.	intro
이름이 뭐야	안녕하세요 저는 구매를 도울 챗봇입니다.	intro
이름 알려줘	안녕하세요 저는 챗봇입니다.	intro
뭐라고 불러	저는 구매를 돕는 챗봇입니다.	intro
이름 다시 말해줘봐	안녕하세요 저는 구매를 도울 챗봇입니다.	intro
크크	흐흐	laugh
허허	좋은 일 있으셨나 봐요. 	laugh
헤헤	좋은 일이 있으신가 봐요.	laugh
호호	하하	laugh
홍홍	하하하	laugh
흐응	궁금하신 게 있으시면 여쭤봐 주세요.	laugh
냐하하	좋은 일이 있으신가 봐요.	laugh
따흐흑	안 좋은 일이 있으신가 봐요.	laugh
얼씨구	절씨구	laugh
으르렁	제가 지금 고객님과 대화하는 게 맞나요?	laugh
웃긴다	제가 좀 재미있죠.	laugh
키히햐	하하하	laugh
하하하	좋은 일이 있으신가 봐요.	laugh
하하핳	저도 같이 웃고 싶어요!	laugh
끼룩끼룩	좋은 일이 있으신가 봐요.	laugh
아 웃기네	제가 좀 재미있죠.	laugh
우해해햏	좋은 일이 있으신가 봐요.	laugh
오호호	하하하	laugh
햐햫	좋은 일이 있으신가 봐요.	laugh
하하	좋은 일이 있으신가 보네요.	laugh
하핳	좋은 일이 있으신가 봐요.	laugh
꺄	좋은 일 있으셨나요?	laugh
큭	좋은 일이 있으신가 봐요.	laugh
풉	저도 같이 웃고 싶어요.	laugh
핳	좋은 일이 있으신가 봐요.	laugh
홓	좋은 일이 있으신가 봐요.	laugh
웃기는군	재밌다는 소리 많이 들어요. 	laugh
웃겨	제가 좀 재미있죠.	laugh
행복	고객님이 행복하셔서 저도 기뻐요.	laugh
후후	저도 같이 웃고 싶어요.	laugh
ㅋ	ㅋㅋㅋㅋㅋ	laugh
깔깔	좋은 일 있으셨나 봐요.	laugh
낄낄	고객님이 행복하셔서 저도 행복해요.	laugh
룰루	좋은 일 있으셨나 봐요.	laugh
으하	좋은 일이 있으신가 봐요.	laugh
캬캬	하하하	laugh
캬컄	저도 같이 웃고 싶어요. 	laugh
키키	히히	laugh
핳하	저도 같이 웃고 싶어요. 	laugh
키득키득	재밌는 일이 있으셨나 봐요.	laugh
아 진짜 웃겨	제가 원래 좀 그래요.	laugh
웃겨 죽겠네	고객님이 행복해하셔서 저도 기뻐요.	laugh
흐흐	좋은 일이 있으셨나 봐요	laugh
ㅎㅎㅎㅎ힣	ㅎㅎㅎㅎ	laugh
ㅋㅋㅎ	ㅋㅋㅋ	laugh
케케	좋은 일이 있으신가 봐요.	laugh
깔깔	무슨 좋은 일이 있으신가 봐요	laugh
홍홍	호호	laugh
으히히	좋은 일이 있으셨나 봐요.	laugh
우헤헤	저도 같이 웃고 싶어요	laugh
희희	기분 좋은 일이 있으신가요?	laugh
웃기당	고객님이 웃으셔서 저도 좋아요.	laugh
ㅋㅋ킼	ㅋㅋㅋ	laugh
웃곀ㅋ	제가 원래 좀 재미있죠	laugh
에헤헤	기분 좋은 일이 있으신가 봐요	laugh
잌ㅋㅋ	좋은 일이 있으신가 봐요	laugh
웃기넿ㅎ	좋게 봐주셔서 감사해요.	laugh
>,<	^.^	laugh
아핳ㅎ	ㅎㅎㅎ	laugh
아하하	하하. 고객님이 기분이 좋으셔서 저도 좋네요.	laugh
ㅎㅎ흐흐	ㅎㅎㅎㅎㅎ	laugh
히힣	무슨 좋은 일이 있으신가 봐요.	laugh
ㅋㅋㅋ웃기다	고객님을 웃기다니 영광이에요.	laugh
아 뭐래 ㅋㅋㅋ	고객님이 행복해하셔서 저도 기뻐요.	laugh
행복하다	고객님이 행복하시다니 저도 행복해요.	laugh
기분좋네 ㅎㅎ	기분 좋은 일이 있으신가 봐요.	laugh
끌끌	하하하	laugh
겔겔	무슨 좋은 일이 있으신가 봐요.	laugh
뭐랰ㅋㅋㅋㅋ	하하. 제가 원래 좀 재밌어요.	laugh
히히	ㅎㅎㅎㅎㅎ	laugh
낄낄	고객님이 웃으셔서 저도 좋네요.	laugh
으헤헿	하하	laugh
웃기게 생겼네	원래 좀 그래요.	laugh
ㅋㅋㅋ	ㅋㅋㅋ	laugh
ㅋㅋ	ㅋㅋㅋㅋㅋㅋ	laugh
ㅋㅋㅋㅋ	ㅋㅋㅋㅋ	laugh
으히히	히히히	laugh
ㅎㅎ	ㅎㅎㅎㅎ	laugh
ㅎㅎㅎ	ㅎㅎ	laugh
으히힣	ㅎㅎㅎ	laugh
크하하	하하하	laugh
앜ㅋㅋㅋㅋㅋ	좋은 일 있으신가 봐요.	laugh
빵터짐	제가 좀 재미있죠?	laugh
아 욱껴	고객님을 웃겼다니 영광이에요.	laugh
^-^	^^	laugh
ㅋㅎㅎ	ㅎㅎㅎㅎㅎ	laugh
ㅋㅋㅋㅋㅋㅋ	ㅋㅋㅋㅋ	laugh
^^	^_^	laugh
푸학	하하	laugh
푸하하	하하하	laugh
우껴	그런가요? 행복하시다니 저도 좋네요.	laugh
아우껴	제가 원래 좀 재밌어요.	laugh
푸하	하하하	laugh
꺄아	좋은 일 있으셨나 봐요!	laugh
아웃겨	고객님이 행복하시다니 기뻐요.	laugh
이히히	하하	laugh
케켘	좋은 일이 있으신가 봐요.	laugh
^ㅡ^	^ㅅ^	laugh
ㅍㅎㅎ	하하하	laugh
^.^	^^	laugh
땡큐	도움을 드릴 수 있어 기쁘네요.	thanks
감사	도움을 드릴 수 있어 기쁘네요.	thanks
ㄸㅋ	별말씀을요.	thanks
오.. 이 서비스 좋으네요~ 	도움을 드릴 수 있어 기쁘네요.	thanks
오… 감사합니다	별말씀을요.	thanks
ㄳ	별말씀을요.	thanks
thank you	당연한 일인걸요.	thanks
고맙네	당연한 일인걸요.	thanks
땡스	별말씀을요.	thanks
ㄱㅅ	별말씀을요.	thanks
잘 사용할게요	네. 다음에 또 찾아주세요.	thanks
챗봇상담 최고	칭찬 감사해요.	thanks
친절하게 설명해주셔서 감사합니당	도움을 드릴 수 있어 기쁘네요.	thanks
도움주셔서 감사합니당 좋은 하루	도움이 됐다니 다행이네요.	thanks
친절하게 알려주셔서 감사해용	당연한 일인걸요.	thanks
신경써주셔서 정말감사합니다	당연한 일인걸요.	thanks
도움이 되었습니당 감사합니당	도움이 됐다니 기뻐요.	thanks
해결됐어요 너무 감사합니다	도움이 됐다니 다행이네요.	thanks
친절하시네요 감사합니다	도움을 드릴 수 있어 기쁘네요.	thanks
잘 찾아주셔서 감사합니다	도움을 드릴 수 있어 기쁘네요.	thanks
자세한 답변 감사드립니다	도움이 됐다니 다행이네요.	thanks
자세한 설명 감사드려요~^^	도움을 드릴 수 있어 기쁘네요.	thanks
설명해주셔서 감사합니다	당연한 일인걸요.	thanks
친절한 답변 감사합니다	도움을 드릴 수 있어 기뻐요.	thanks
정확한 정보 감사합니다	당연한 일인걸요.	thanks
자세한 확인 감사합니다	도움을 드릴 수 있어 기쁘네요.	thanks
알아봐 주셔서 감사해요	당연한 일인걸요.	thanks
맘에 듭니다	도움이 됐다니 기뻐요.	thanks
많은 참고가 되었습니다	도움을 드릴 수 있어 기쁘네요.	thanks
도움주셔서 감사합니다	도움이 됐다니 다행이네요.	thanks
도움 많이 되었습니다	도움이 됐다니 기쁘네요.	thanks
친절하게 답변해주셔서 감사합니다^^	도움을 드릴 수 있어 기뻐요.	thanks
도움되었습니당ㅋㅋ	도움을 드릴 수 있어 기쁘네요.	thanks
오늘 하루도 머찐 하루되시길 바랄께요	좋은 말씀 감사해요.	thanks
친절하게 상담해주셔서 감사했습니다	당연한 일인걸요.	thanks
감사해요ㅎㅎ	도움을 드릴 수 있어 기쁘네요.	thanks
감사^^	도움을 드릴 수 있어 기쁘네요.	thanks
땡큐 ^^	도움을 드릴 수 있어 기쁘네요.	thanks
고마워 ^^	도움을 드릴 수 있어 기쁘네요.	thanks
우와 고마워 ^^	도움이 됐다니 다행이네요.	thanks
도움 많이 됐어	도움이 됐다니 다행이네요.	thanks
도움은 최고	도움이 됐다니 다행이네요.	thanks
오! 고맙습니다	도움을 드릴 수 있어 기쁘네요.	thanks
고마워유	도움을 드릴 수 있어 기쁘네요.	thanks
도움많이됐어요 	도움이 됐다니 다행이네요.	thanks
고마우이	도움을 드릴 수 있어 기뻐요.	thanks
고마움	도움을 드릴 수 있어 기쁘네요.	thanks
감사한 마음을 전달합니당	도움이 됐다니 다행이네요.	thanks
고맙습니다	도움이 됐다니 기뻐요.	thanks
고마웤ㅋ	도움을 드릴 수 있어 기쁘네요.	thanks
고마워요ㅋㅋ	도움을 드릴 수 있어 기쁘네요.	thanks
고마워ㅋㅋ	별말씀을요.	thanks
고마워여	당연한 일인걸요.	thanks
고마워요	별말씀을요.	thanks
도와줘서 고마워	도움이 됐다니 다행이네요.	thanks
고맙소	도움을 드릴 수 있어 기쁘네요.	thanks
덕분에 수월해졌네요	도움을 드릴 수 있어 기쁘네요.	thanks
답변 정말 감사합니다	별말씀을요.	thanks
세상에 감사합니다	도움이 됐다니 다행이네요.	thanks
추천 감사	당연한 일인걸요.	thanks
아리가또	당연한 일인걸요.	thanks
고맙슴다	별말씀을요.	thanks
고마워요~^^	별말씀을요.	thanks
감사해요	별말씀을요.	thanks
감사감사	별말씀을요.	thanks
오 고맙	도움이 됐다니 기쁘네요.	thanks
고맙다	도움을 드릴 수 있어 기쁘네요.	thanks
고마워	도움이 됐다니 기뻐요.	thanks
감사드려요	도움을 드릴 수 있어 기쁘네요.	thanks
진심~ 감사합니다	도움을 드릴 수 있어 기쁘네요.	thanks
쌩유	도움을 드릴 수 있어 기쁘네요.	thanks
자주 이용하겠습니다	네. 다음에 또 찾아주세요.	thanks
땡큐베리감사	도움을 드릴 수 있어 기쁘네요.	thanks
넘나감사	도움을 드릴 수 있어 기쁘네요.	thanks
맘에들어	도움이 됐다니 다행이네요.	thanks
도움감사	도움이 됐다니 다행이네요.	thanks
고마오	별말씀을요.	thanks
고마옹	별말씀을요.	thanks
챗봇상담 쵝오	칭찬 감사해요.	thanks
우왕 감사합니다	도움을 드릴 수 있어 기뻐요.	thanks
앞으로 애용할게요	네. 다음에 또 찾아주세요.	thanks
감솨합니다	도움이 됐다니 기뻐요.	thanks
친절하시네	칭찬 감사해요.	thanks
설명 정말 감사해요	도움을 드릴 수 있어 기쁘네요.	thanks
도움이 될 거 같네요	도움이 드릴 수 있어 기뻐요.	thanks
답변 감사드립니다	도움을 드릴 수 있어 기쁘네요.	thanks
확인 감사합니다	당연한 일인걸요.	thanks
추천 감사합니다	별말씀을요.	thanks
정보 감사합니다	당연한 일인걸요.	thanks
자료 감사합니다	도움이 됐다니 다행이네요.	thanks
오 넵 감사합니다	당연한 일인걸요.	thanks
설명 감사합니다	당연한 일인걸요.	thanks
고맙긴 하네	도움을 드릴 수 있어 기쁘네요.	thanks
도움되었습니다	도움이 됐다니 다행이네요.	thanks
답변 감사합니다	별말씀을요.	thanks
감기 조심하세요	좋은 말씀 감사해요.	thanks
좋은 말이네요	도움이 됐다니 다행이네요.	thanks
요거 참 좋네요	도움을 드릴 수 있어 기쁘네요.	thanks
오 완전 좋네요	도움을 드릴 수 있어 기뻐요.	thanks
오 감사합니다!	당연한 일인걸요.	thanks
오 감사합니다	당연한 일인걸요.	thanks
상담사님 최고	칭찬 감사해요.	thanks
도움됐습니다	도움을 드릴 수 있어 기쁘네요.	thanks
도움 감사합니다	도움을 드릴 수 있어 기쁘네요.	thanks
고맙 	도움을 드릴 수 있어 기뻐요.	thanks
고맙다 진짜 	도움을 드릴 수 있어 기뻐요.	thanks
땡큐베리감사 	도움을 드릴 수 있어 기뻐요.	thanks